Date,Transaction Type,Name,Memo/Description,Split,Amount,Balance
05/07/2021,Deposit,EntityC,Received from John Doe towards Founders Preferred Stock 900000,Cash,9,9
05/07/2021,Deposit,EntityC,Received from John Doe towards Common Stock 8100000,Cash,81,90
05/07/2021,Deposit,EntityC,,-Split-,90,180
05/07/2021,Deposit,EntityC,Received from John Doe towards Common Stock 8100000,Cash,81,261
05/07/2021,Deposit,EntityC,,-Split-,90,351
05/07/2021,Deposit,EntityC,Received from John Doe towards Founders Preferred Stock 900000,Cash,9,360
05/07/2021,Deposit,EntityC,Received from John Doe towards Common Stock 8100000,Cash,81,441
05/07/2021,Deposit,EntityC,Received from John Doe towards Common Stock 8100000,Cash,81,522
05/07/2021,Deposit,EntityC,,-Split-,90,612
05/07/2021,Deposit,EntityC,Received from John Doe towards Founders Preferred Stock 900000,Cash,9,621
05/07/2021,Deposit,EntityC,,-Split-,90,711
05/07/2021,Deposit,EntityC,Received from John Doe towards Founders Preferred Stock 900000,Cash,9,720
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Savings (6977),402460,403180
08/10/2021,Transfer,,SVB FOR BENEFIT OF ANGELLIST,Account1,-402460,720
08/10/2021,Transfer,,SVB FOR BENEFIT OF ANGELLIST,Account1,-402460,-401740
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Savings (6977),-402460,-804200
08/10/2021,Transfer,,SVB FOR BENEFIT OF ANGELLIST,Account1,-402460,-1206660
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Account1,402460,-804200
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Account1,402460,-401740
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Account1,402460,720
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Account1,-402460,-401740
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-402460,-804200
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Savings (6977),-402460,-1206660
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-402460,-1609120
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Account1,402460,-1206660
08/10/2021,Transfer,,SVB FOR BENEFIT OF ANGELLIST,Account1,-402460,-1609120
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Account1,402460,-1206660
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Account1,402460,-804200
08/10/2021,Transfer,,SVB FOR BENEFIT OF ANGELLIST,Savings (6977),402460,-401740
08/10/2021,Deposit,,SVB FOR BENEFIT OF ANGELLIST,Series Seed Preferred Share:Angel -Investment,402460,720
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Account1,402460,403180
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Savings (6977),402460,805640
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-402460,403180
08/10/2021,Transfer,,SVB FOR BENEFIT OF ANGELLIST,Savings (6977),402460,805640
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Account1,402460,1208100
08/10/2021,Deposit,,SVB FOR BENEFIT OF ANGELLIST,Account1,402460,1610560
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Account1,-402460,1208100
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Account1,402460,1610560
08/10/2021,Deposit,,SVB FOR BENEFIT OF ANGELLIST,Account1,402460,2013020
